 Destination Port	 Flow Duration	 Total Fwd Packets	 Total Backward Packets	Total Length of Fwd Packets	 Total Length of Bwd Packets	 Fwd Packet Length Max	 Fwd Packet Length Min	 Fwd Packet Length Mean	 Fwd Packet Length Std	Bwd Packet Length Max	 Bwd Packet Length Min	 Bwd Packet Length Mean	 Bwd Packet Length Std	Flow Bytes/s	 Flow Packets/s	 Flow IAT Mean	 Flow IAT Std	 Flow IAT Max	 Flow IAT Min	Fwd IAT Total	 Fwd IAT Mean	 Fwd IAT Std	 Fwd IAT Max	 Fwd IAT Min	Bwd IAT Total	 Bwd IAT Mean	 Bwd IAT Std	 Bwd IAT Max	 Bwd IAT Min	Fwd PSH Flags	 Bwd PSH Flags	 Fwd URG Flags	 Bwd URG Flags	 Fwd Header Length	 Bwd Header Length	Fwd Packets/s	 Bwd Packets/s	 Min Packet Length	 Max Packet Length	 Packet Length Mean	 Packet Length Std	 Packet Length Variance	FIN Flag Count	 SYN Flag Count	 RST Flag Count	 PSH Flag Count	 ACK Flag Count	 URG Flag Count	 CWE Flag Count	 ECE Flag Count	 Down/Up Ratio	 Average Packet Size	 Avg Fwd Segment Size	 Avg Bwd Segment Size	 Fwd Header Length	Fwd Avg Bytes/Bulk	 Fwd Avg Packets/Bulk	 Fwd Avg Bulk Rate	 Bwd Avg Bytes/Bulk	 Bwd Avg Packets/Bulk	Bwd Avg Bulk Rate	Subflow Fwd Packets	 Subflow Fwd Bytes	 Subflow Bwd Packets	 Subflow Bwd Bytes	Init_Win_bytes_forward	 Init_Win_bytes_backward	 act_data_pkt_fwd	 min_seg_size_forward	Active Mean	 Active Std	 Active Max	 Active Min	Idle Mean	 Idle Std	 Idle Max	 Idle Min	 Label
80	5997887	3	1	0	0	0	0	0	0	0	0	0	0	0	0.666901527	1999295.667	3442830.854	5974712	54	5997887	2998943.5	4208372.171	5974712	23175	0	0	0	0	0	0	0	0	0	104	40	0.500176145	0.166725382	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	3	0	1	0	29200	28960	0	32	0	0	0	0	0	0	0	0	BENIGN
80	6013822	3	1	0	0	0	0	0	0	0	0	0	0	0	0.665134419	2004607.333	3452099.163	5990726	54	6013822	3006911	4219751.641	5990726	23096	0	0	0	0	0	0	0	0	0	104	40	0.498850814	0.166283605	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	3	0	1	0	29200	28960	0	32	0	0	0	0	0	0	0	0	BENIGN
80	6021302	3	1	0	0	0	0	0	0	0	0	0	0	0	0.664308151	2007100.667	3456384.189	5998167	0	6021302	3010651	4224985.645	5998167	23135	0	0	0	0	0	0	0	0	0	104	40	0.498231113	0.166077038	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	3	0	1	0	29200	28960	0	32	0	0	0	0	0	0	0	0	BENIGN
80	78059979	11	11	432	1774	432	0	39.27272727	130.2529009	1774	0	161.2727273	534.8811253	28.26032018	0.281834562	3717141.857	4852167.747	10000000	33	70400000	7041025.1	4829252.437	10000000	141	78000000	7803685.1	4154058.022	10000000	23413	0	0	0	0	360	360	0.140917281	0.140917281	0	1774	95.91304348	376.7152183	141914.3557	0	0	0	1	0	0	0	0	1	100.2727273	39.27272727	161.2727273	360	0	0	0	0	0	0	11	432	11	1774	29200	939	1	32	38224.71429	39911.28482	128734	22891	10000000	10208.75074	10000000	9997496	BENIGN
80	98087750	13	13	432	1774	432	0	33.23076923	119.8152424	1774	0	136.4615385	492.0190741	22.49006629	0.265068778	3923510	4898902.792	10000000	61	90500000	7542192.5	4520668.099	10000000	119	98100000	8172050	3856696.315	10000000	23422	0	0	0	0	424	424	0.132534389	0.132534389	0	1774	81.7037037	348.2628113	121286.9858	0	0	0	1	0	0	0	0	1	84.84615385	33.23076923	136.4615385	424	0	0	0	0	0	0	13	432	13	1774	29200	939	1	32	35800.77778	37954.8009	137012	22908	10000000	9613.897602	10000000	9997300	BENIGN
80	115080780	17	14	432	1774	432	0	25.41176471	104.77539	1774	0	126.7142857	474.1214432	19.16914362	0.269375998	3836026	4832082.706	10000000	39	115000000	7192548.75	4439655.095	10000000	120	112000000	8579949.385	3812423.723	11000000	1245	0	0	0	0	552	456	0.147722322	0.121653677	0	1774	68.9375	320.3638997	102633.0282	0	0	0	1	0	0	0	0	0	71.16129032	25.41176471	126.7142857	552	0	0	0	0	0	0	17	432	14	1774	29200	939	1	32	25378.45455	7463.453656	47872	22942	10000000	4349.031581	10000000	10000000	BENIGN
443	115845382	67	108	3943	202766	517	0	58.85074627	146.3417807	4344	0	1877.462963	1102.547987	1784.352526	1.510634235	665778.0575	2461632.118	10000000	1	116000000	1755233.061	3776591.736	10100000	4	111000000	1039544.514	3063439.11	10100000	48	0	0	0	0	2152	3464	0.578357107	0.932277128	0	4344	1174.482955	1241.256156	1540716.845	0	0	0	1	0	0	0	0	1	1181.194286	58.85074627	1877.462963	2152	0	0	0	0	0	0	67	3943	108	202766	29200	1207	11	32	92989.27273	229973.2253	786378	23010	10000000	19596.40261	10000000	9959984	BENIGN
443	115845677	35	32	759	26251	375	0	21.68571429	74.33064898	2836	0	820.34375	771.5019541	233.1550102	0.578355634	1755237.53	3763417.389	10000000	1	116000000	3407225.794	4725380.175	10000000	1	111000000	3586012.452	4871166.792	10000000	48	0	0	0	0	1128	1032	0.302126078	0.276229557	0	2836	397.2058824	663.1257632	439735.7779	0	0	0	1	0	0	0	0	0	403.1343284	21.68571429	820.34375	1128	0	0	0	0	0	0	35	759	32	26251	29200	357	4	32	96185.18182	198340.1415	694203	36236	10000000	4655.154584	10000000	9996291	BENIGN
443	115845262	104	178	3495	350351	517	0	33.60576923	113.5434067	4344	0	1968.264045	1017.277303	3054.471058	2.434281689	412260.7189	1962569.617	10000000	1	116000000	1124711.282	3132409.32	10100000	1	111000000	628422.2429	2431343.336	10100000	1	0	0	0	0	3336	5704	0.897749275	1.536532413	0	4344	1250.339223	1237.376089	1531099.587	0	0	0	1	0	0	0	0	1	1254.77305	33.60576923	1968.264045	3336	0	0	0	0	0	0	104	3495	178	350351	29200	1173	10	32	89228.09091	218741.6941	748759	23122	10000000	8443.960059	10000000	9997426	BENIGN
443	116003879	23	20	809	7110	435	0	35.17391304	100.1669752	2896	0	355.5	744.2115927	68.26495862	0.37067726	2761997.119	4452562.624	10000000	3	116000000	5272903.591	5007055.738	10000000	3	111000000	5820450.316	5090271.413	10000000	4	0	0	0	0	744	648	0.198269232	0.172408028	0	2896	179.9772727	525.5058024	276156.3483	0	0	0	1	0	0	0	0	0	184.1627907	35.17391304	355.5	744	0	0	0	0	0	0	23	809	20	7110	29200	1006	4	32	33696.33333	36056.1018	148184	23004	9633293.333	1335729.666	10000000	5392194	BENIGN
443	116126156	96	160	4453	321425	426	0	46.38541667	126.5625179	4344	0	2008.90625	1039.838399	2806.241171	2.204499045	455396.6902	2055432.673	10000000	1	116000000	1222380.589	3243555.009	10000000	4	112000000	701331.0377	2555606.552	10000000	2	0	0	0	0	3080	5128	0.826687142	1.377811903	0	4344	1268.007782	1259.566645	1586508.133	0	0	0	1	0	0	0	0	1	1272.960938	46.38541667	2008.90625	3080	0	0	0	0	0	0	96	4453	160	321425	29200	1307	13	32	115993.4545	307223.1869	1042306	23193	10000000	8565.791873	10000000	9996529	BENIGN
443	115846152	57	73	3881	106736	517	0	68.0877193	154.082223	3921	0	1462.136986	981.0797526	954.861237	1.122177973	898032.186	2824831.11	10000000	1	116000000	2068681.286	4024132.691	10000000	1	111000000	1544421.431	3635154.86	10000000	17	0	0	0	0	1832	2344	0.49203188	0.630146092	0	3921	844.4045802	1013.570132	1027324.412	0	0	0	1	0	0	0	0	1	850.9	68.0877193	1462.136986	1832	0	0	0	0	0	0	57	3881	73	106736	29200	1207	11	32	91473.54545	226452.3568	774253	23035	10000000	19652.55151	10000000	9959987	BENIGN
443	115846115	91	140	4355	261426	517	0	47.85714286	133.5774076	4344	0	1867.328571	1063.484367	2294.259069	1.994024573	503678.7609	2159212.235	10000000	1	116000000	1287179.056	3321393.117	10000000	1	111000000	800215.5683	2720213.683	10000000	1	0	0	0	0	2920	4488	0.785524832	1.208499741	0	4344	1145.607759	1218.029431	1483595.694	0	0	0	1	0	0	0	0	1	1150.5671	47.85714286	1867.328571	2920	0	0	0	0	0	0	91	4355	140	261426	29200	1240	12	32	90214.72727	221160.702	757038	22979	10000000	8160.119341	10000000	9997286	BENIGN
443	115846491	61	77	4398	118356	517	0	72.09836066	159.8259162	4344	0	1537.090909	1022.291005	1059.626398	1.191231593	845594.8248	2748693.968	10000000	3	116000000	1930774.85	3920192.626	10100000	49	111000000	1463569.276	3554396.233	10100000	70	0	0	0	0	1960	2472	0.526558892	0.6646727	0	4344	883.1223022	1059.097513	1121687.543	0	0	0	1	0	0	0	0	1	889.5217391	72.09836066	1537.090909	1960	0	0	0	0	0	0	61	4398	77	118356	29200	1240	12	32	92684.81818	230091.6783	786437	23006	10000000	19662.14131	10000000	9960014	BENIGN
443	116846239	35	30	2058	21884	1170	0	58.8	214.6282422	1418	0	729.4666667	684.7088852	204.9017598	0.556286626	1825722.484	3819042.288	10000000	1	117000000	3436654.088	4738857.88	10100000	1	112000000	3852091	4953437.319	10100000	1	0	0	0	0	1128	968	0.299538952	0.256747673	0	1418	362.7575758	589.1545196	347103.048	0	0	0	1	0	0	0	0	0	368.3384615	58.8	729.4666667	1128	0	0	0	0	0	0	35	2058	30	21884	29200	189	5	32	121431.5	249071.9857	912341	49270	9615754.833	1426464.04	10000000	5086219	BENIGN
53	31131	1	1	62	90	62	62	62	0	90	90	90	0	4882.592914	64.2446436	31131	0	31131	31131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	32.1223218	32.1223218	62	90	71.33333333	16.16580754	261.3333333	0	0	0	0	0	0	0	0	1	107	62	90	32	0	0	0	0	0	0	1	62	1	90	-1	-1	0	32	0	0	0	0	0	0	0	0	BENIGN
53	18125444	2	2	104	170	62	42	52	14.14213562	92	78	85	9.899494937	15.11687107	0.220684249	6041814.667	10300000	18000000	30843	18000000	18000000	0	18000000	18000000	18100000	18100000	0	18100000	18100000	0	0	0	0	52	52	0.110342125	0.110342125	42	92	67.2	18.84675038	355.2	0	0	0	0	0	0	0	0	1	84	52	85	52	0	0	0	0	0	0	2	104	2	170	-1	-1	1	20	30843	0	30843	30843	18000000	0	18000000	18000000	BENIGN
1107	49	1	1	2	6	2	2	2	0	6	6	6	0	163265.3061	40816.32653	49	0	49	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	20408.16327	20408.16327	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
1022	75	1	1	2	6	2	2	2	0	6	6	6	0	106666.6667	26666.66667	75	0	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	13333.33333	13333.33333	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
10628	15	1	1	2	6	2	2	2	0	6	6	6	0	533333.3333	133333.3333	15	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	66666.66667	66666.66667	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
5862	87	1	1	2	6	2	2	2	0	6	6	6	0	91954.02299	22988.50575	87	0	87	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	11494.25287	11494.25287	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
7920	65	1	1	2	6	2	2	2	0	6	6	6	0	123076.9231	30769.23077	65	0	65	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	15384.61538	15384.61538	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
11111	42	1	1	2	6	2	2	2	0	6	6	6	0	190476.1905	47619.04762	42	0	42	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	23809.52381	23809.52381	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
80	694	2	1	8	2	6	2	4	2.828427125	2	2	2	0	14409.2219	4322.766571	347	343.6538957	590	104	694	694	0	694	694	0	0	0	0	0	0	0	0	0	44	24	2881.84438	1440.92219	2	6	3	2	4	0	0	0	1	0	0	0	0	0	4	4	2	44	0	0	0	0	0	0	2	8	1	2	1024	29200	1	20	0	0	0	0	0	0	0	0	PortScan
6025	50	1	1	2	6	2	2	2	0	6	6	6	0	160000	40000	50	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	20000	20000	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
3918	43	1	1	2	6	2	2	2	0	6	6	6	0	186046.5116	46511.62791	43	0	43	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	23255.81395	23255.81395	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
2099	42	1	1	2	6	2	2	2	0	6	6	6	0	190476.1905	47619.04762	42	0	42	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	23809.52381	23809.52381	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
3914	42	1	1	2	6	2	2	2	0	6	6	6	0	190476.1905	47619.04762	42	0	42	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	23809.52381	23809.52381	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
49400	36	1	1	2	6	2	2	2	0	6	6	6	0	222222.2222	55555.55556	36	0	36	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	27777.77778	27777.77778	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
2602	51	1	1	2	6	2	2	2	0	6	6	6	0	156862.7451	39215.68627	51	0	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	19607.84314	19607.84314	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
50389	44	1	1	2	6	2	2	2	0	6	6	6	0	181818.1818	45454.54545	44	0	44	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	22727.27273	22727.27273	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
3920	43	1	1	2	6	2	2	2	0	6	6	6	0	186046.5116	46511.62791	43	0	43	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	23255.81395	23255.81395	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
2605	55	1	1	2	6	2	2	2	0	6	6	6	0	145454.5455	36363.63636	55	0	55	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	18181.81818	18181.81818	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
9050	32	1	1	2	6	2	2	2	0	6	6	6	0	250000	62500	32	0	32	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	31250	31250	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
2604	40	1	1	2	6	2	2	2	0	6	6	6	0	200000	50000	40	0	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	25000	25000	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
2601	52	1	1	2	6	2	2	2	0	6	6	6	0	153846.1538	38461.53846	52	0	52	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	19230.76923	19230.76923	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
5633	89	1	1	2	6	2	2	2	0	6	6	6	0	89887.64045	22471.91011	89	0	89	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	11235.95506	11235.95506	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
5631	21	1	1	2	6	2	2	2	0	6	6	6	0	380952.381	95238.09524	21	0	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	47619.04762	47619.04762	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
212	85	1	1	2	6	2	2	2	0	6	6	6	0	94117.64706	23529.41176	85	0	85	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	11764.70588	11764.70588	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
211	41	1	1	2	6	2	2	2	0	6	6	6	0	195121.9512	48780.4878	41	0	41	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	24390.2439	24390.2439	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
7201	40	1	1	2	6	2	2	2	0	6	6	6	0	200000	50000	40	0	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	25000	25000	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
497	49	1	1	2	6	2	2	2	0	6	6	6	0	163265.3061	40816.32653	49	0	49	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	20408.16327	20408.16327	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
65129	68	1	1	2	6	2	2	2	0	6	6	6	0	117647.0588	29411.76471	68	0	68	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	14705.88235	14705.88235	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
7200	26	1	1	2	6	2	2	2	0	6	6	6	0	307692.3077	76923.07692	26	0	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	38461.53846	38461.53846	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
481	21	1	1	2	6	2	2	2	0	6	6	6	0	380952.381	95238.09524	21	0	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	47619.04762	47619.04762	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
3001	34	1	1	2	6	2	2	2	0	6	6	6	0	235294.1176	58823.52941	34	0	34	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	29411.76471	29411.76471	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
3000	18	1	1	2	6	2	2	2	0	6	6	6	0	444444.4444	111111.1111	18	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	55555.55556	55555.55556	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
9998	35	1	1	2	6	2	2	2	0	6	6	6	0	228571.4286	57142.85714	35	0	35	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	28571.42857	28571.42857	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
9999	48	1	1	2	6	2	2	2	0	6	6	6	0	166666.6667	41666.66667	48	0	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	20833.33333	20833.33333	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
7496	25	1	1	2	6	2	2	2	0	6	6	6	0	320000	80000	25	0	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	40000	40000	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
65000	44	1	1	2	6	2	2	2	0	6	6	6	0	181818.1818	45454.54545	44	0	44	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	22727.27273	22727.27273	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
3283	26	1	1	2	6	2	2	2	0	6	6	6	0	307692.3077	76923.07692	26	0	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	38461.53846	38461.53846	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
2608	43	1	1	2	6	2	2	2	0	6	6	6	0	186046.5116	46511.62791	43	0	43	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	23255.81395	23255.81395	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
2607	51	1	1	2	6	2	2	2	0	6	6	6	0	156862.7451	39215.68627	51	0	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	19607.84314	19607.84314	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
9071	44	1	1	2	6	2	2	2	0	6	6	6	0	181818.1818	45454.54545	44	0	44	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	22727.27273	22727.27273	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
6969	49	1	1	2	6	2	2	2	0	6	6	6	0	163265.3061	40816.32653	49	0	49	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	20408.16327	20408.16327	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
44176	28	1	1	2	6	2	2	2	0	6	6	6	0	285714.2857	71428.57143	28	0	28	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	35714.28571	35714.28571	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
5500	12	1	1	2	6	2	2	2	0	6	6	6	0	666666.6667	166666.6667	12	0	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	83333.33333	83333.33333	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
3006	50	1	1	2	6	2	2	2	0	6	6	6	0	160000	40000	50	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	20000	20000	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
3007	64	1	1	2	6	2	2	2	0	6	6	6	0	125000	31250	64	0	64	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	15625	15625	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
3003	51	1	1	2	6	2	2	2	0	6	6	6	0	156862.7451	39215.68627	51	0	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	19607.84314	19607.84314	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
1434	51	1	1	2	6	2	2	2	0	6	6	6	0	156862.7451	39215.68627	51	0	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	19607.84314	19607.84314	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
4321	48	1	1	2	6	2	2	2	0	6	6	6	0	166666.6667	41666.66667	48	0	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	20833.33333	20833.33333	2	6	3.333333333	2.309401077	5.333333333	0	0	0	1	0	0	0	0	1	5	2	6	24	0	0	0	0	0	0	1	2	1	6	1024	0	0	24	0	0	0	0	0	0	0	0	PortScan
